زنانیاں NN
خوشی NN
طرح RB
بچے NN
در NN
دیس NN
ڈاکٹر NN
نیڑے RB
کھا VBF
دیو VBF
دیندے VBF
رانجھا NN
سکدی AUXM
چنگی JJ
نالے PRE
دیوے VBF
ماری VBF
چودھری NN
ویلا JJ
کڑیاں NN
خلاف PRE
جنگ NN
اگ NN
ہندوستان NNP
خاص JJ
ریاں VBF
حیاتی NN
ڈر NN
زندگی NN
ڈیسک NN
نور NN
جیوں PRR
بیٹھے VBF
کتھے PRP
احمد NNP
اکھیں NN
حاصل VBF
پھل NN
کھو VBF
جناں PRR
ساڈی PRS
تو PRP
ٹھیک SC
ٹر VBF
پاک JJ
بھاویں VBF
کریں VBF
کتاب NN
لور NN
نالوں PRE
رل VBF
جانے VBF
لایا VBF
ویکھن VBI
سوچ NN
کرم NN
بندیاں NN
لو VBF
سکے APNA
شے NN
اصل JJ
ملن VBF
وزیر NN
پلوں PRF
مان NN
صاف JJ
دینا VBI
ویاں VBF
دوجی OD
سوال NN
جن NN
ماریا VBF
چایدا AUXM
باغ NN
ورق NN
پڑھ VBF
لال NN
وکھ JJ
رندا VBF
بیان NN
مول NN
ندا JJ
سماج NN
حمزا NNP
رندے VBF
مکھ NN
کندے NN
کر SCKar
دمودر NNP
آکھن VBF
دوویں PSP
پورا Q
عمل NN
اوسے PDM
سدا RB
فقیر NN
پار PSP
کردیاں VBF
چک VBF
بال NN
جوں RB
پچھلے NN
بابا NN
پاس RB
عقل NN
چور NN
پری NN
اکو CD
ذات NN
دھرتی NN
سٹ VBF
سرکار NN
لئے PSP
سیاسی JJ
تخت NN
بغیر PSP
عاشق NN
تیار JJ
اینوں PRS
